store,antecedent,consequent,attach_rate,lift
Astoria,Bakery,Bakery,0.0,0.0
Astoria,Bakery,Branded,0.0,0.0
Astoria,Bakery,Coffee,0.0,0.0
Astoria,Bakery,Coffee beans,0.0,0.0
Astoria,Bakery,Drinking Chocolate,0.0,0.0
Astoria,Bakery,Flavours,0.0,0.0
Astoria,Bakery,Loose Tea,0.0,0.0
Astoria,Bakery,Packaged Chocolate,0.0,0.0
Astoria,Bakery,Tea,0.0,0.0
Astoria,Branded,Bakery,0.0,0.0
Astoria,Branded,Branded,0.0,0.0
Astoria,Branded,Coffee,0.0,0.0
Astoria,Branded,Coffee beans,0.0,0.0
Astoria,Branded,Drinking Chocolate,0.0,0.0
Astoria,Branded,Flavours,0.0,0.0
Astoria,Branded,Loose Tea,0.0,0.0
Astoria,Branded,Packaged Chocolate,0.0,0.0
Astoria,Branded,Tea,0.0,0.0
Astoria,Coffee,Bakery,0.0,0.0
Astoria,Coffee,Branded,0.0,0.0
Astoria,Coffee,Coffee,0.0,0.0
Astoria,Coffee,Coffee beans,0.0,0.0
Astoria,Coffee,Drinking Chocolate,0.0,0.0
Astoria,Coffee,Flavours,0.0,0.0
Astoria,Coffee,Loose Tea,0.0,0.0
Astoria,Coffee,Packaged Chocolate,0.0,0.0
Astoria,Coffee,Tea,0.0,0.0
Astoria,Coffee beans,Bakery,0.0,0.0
Astoria,Coffee beans,Branded,0.0,0.0
Astoria,Coffee beans,Coffee,0.0,0.0
Astoria,Coffee beans,Coffee beans,0.0,0.0
Astoria,Coffee beans,Drinking Chocolate,0.0,0.0
Astoria,Coffee beans,Flavours,0.0,0.0
Astoria,Coffee beans,Loose Tea,0.0,0.0
Astoria,Coffee beans,Packaged Chocolate,0.0,0.0
Astoria,Coffee beans,Tea,0.0,0.0
Astoria,Drinking Chocolate,Bakery,0.0,0.0
Astoria,Drinking Chocolate,Branded,0.0,0.0
Astoria,Drinking Chocolate,Coffee,0.0,0.0
Astoria,Drinking Chocolate,Coffee beans,0.0,0.0
Astoria,Drinking Chocolate,Drinking Chocolate,0.0,0.0
Astoria,Drinking Chocolate,Flavours,0.0,0.0
Astoria,Drinking Chocolate,Loose Tea,0.0,0.0
Astoria,Drinking Chocolate,Packaged Chocolate,0.0,0.0
Astoria,Drinking Chocolate,Tea,0.0,0.0
Astoria,Flavours,Bakery,0.0,0.0
Astoria,Flavours,Branded,0.0,0.0
Astoria,Flavours,Coffee,0.0,0.0
Astoria,Flavours,Coffee beans,0.0,0.0
Astoria,Flavours,Drinking Chocolate,0.0,0.0
Astoria,Flavours,Flavours,0.0,0.0
Astoria,Flavours,Loose Tea,0.0,0.0
Astoria,Flavours,Packaged Chocolate,0.0,0.0
Astoria,Flavours,Tea,0.0,0.0
Astoria,Loose Tea,Bakery,0.0,0.0
Astoria,Loose Tea,Branded,0.0,0.0
Astoria,Loose Tea,Coffee,0.0,0.0
Astoria,Loose Tea,Coffee beans,0.0,0.0
Astoria,Loose Tea,Drinking Chocolate,0.0,0.0
Astoria,Loose Tea,Flavours,0.0,0.0
