antecedent,consequent,attach_rate,lift
Bakery,Bakery,0.0,0.0
Bakery,Coffee,0.0,0.0
Bakery,Coffee beans,0.0,0.0
Bakery,Drinking Chocolate,0.0,0.0
Bakery,Flavours,0.0,0.0
Bakery,Tea,0.0,0.0
Coffee,Bakery,0.0,0.0
Coffee,Coffee,0.0,0.0
Coffee,Coffee beans,0.0,0.0
Coffee,Drinking Chocolate,0.0,0.0
Coffee,Flavours,0.0,0.0
Coffee,Tea,0.0,0.0
Coffee beans,Bakery,0.0,0.0
Coffee beans,Coffee,0.0,0.0
Coffee beans,Coffee beans,0.0,0.0
Coffee beans,Drinking Chocolate,0.0,0.0
Coffee beans,Flavours,0.0,0.0
Coffee beans,Tea,0.0,0.0
Drinking Chocolate,Bakery,0.0,0.0
Drinking Chocolate,Coffee,0.0,0.0
Drinking Chocolate,Coffee beans,0.0,0.0
Drinking Chocolate,Drinking Chocolate,0.0,0.0
Drinking Chocolate,Flavours,0.0,0.0
Drinking Chocolate,Tea,0.0,0.0
Flavours,Bakery,0.0,0.0
Flavours,Coffee,0.0,0.0
Flavours,Coffee beans,0.0,0.0
Flavours,Drinking Chocolate,0.0,0.0
Flavours,Flavours,0.0,0.0
Flavours,Tea,0.0,0.0
Tea,Bakery,0.0,0.0
Tea,Coffee,0.0,0.0
Tea,Coffee beans,0.0,0.0
Tea,Drinking Chocolate,0.0,0.0
Tea,Flavours,0.0,0.0
Tea,Tea,0.0,0.0
