store,ts,family,units_to_prep
Astoria,2023-06-04 18:00:00,Bakery,5.8295908441421584
Astoria,2023-06-04 18:00:00,Coffee,5.8295908441421584
Astoria,2023-06-04 18:00:00,Coffee beans,5.8295908441421584
Astoria,2023-06-04 18:00:00,Drinking Chocolate,5.8295908441421584
Astoria,2023-06-04 18:00:00,Flavours,5.8295908441421584
Astoria,2023-06-04 18:00:00,Tea,5.8295908441421584
Astoria,2023-06-04 19:00:00,Bakery,5.998947535684665
Astoria,2023-06-04 19:00:00,Coffee,5.998947535684665
Astoria,2023-06-04 19:00:00,Coffee beans,5.998947535684665
Astoria,2023-06-04 19:00:00,Drinking Chocolate,5.998947535684665
Astoria,2023-06-04 19:00:00,Flavours,5.998947535684665
Astoria,2023-06-04 19:00:00,Tea,5.998947535684665
Astoria,2023-06-05 11:00:00,Bakery,6.126931595527724
Astoria,2023-06-05 11:00:00,Coffee,6.126931595527724
Astoria,2023-06-05 11:00:00,Coffee beans,6.126931595527724
Astoria,2023-06-05 11:00:00,Drinking Chocolate,6.126931595527724
Astoria,2023-06-05 11:00:00,Flavours,6.126931595527724
Astoria,2023-06-05 11:00:00,Tea,6.126931595527724
Astoria,2023-06-05 12:00:00,Bakery,5.892653776794634
Astoria,2023-06-05 12:00:00,Coffee,5.892653776794634
Astoria,2023-06-05 12:00:00,Coffee beans,5.892653776794634
Astoria,2023-06-05 12:00:00,Drinking Chocolate,5.892653776794634
Astoria,2023-06-05 12:00:00,Flavours,5.892653776794634
Astoria,2023-06-05 12:00:00,Tea,5.892653776794634
Astoria,2023-06-05 13:00:00,Bakery,7.110951713598049
Astoria,2023-06-05 13:00:00,Coffee,7.110951713598049
Astoria,2023-06-05 13:00:00,Coffee beans,7.110951713598049
Astoria,2023-06-05 13:00:00,Drinking Chocolate,7.110951713598049
Astoria,2023-06-05 13:00:00,Flavours,7.110951713598049
Astoria,2023-06-05 13:00:00,Tea,7.110951713598049
Astoria,2023-06-05 14:00:00,Bakery,6.3842860102100625
Astoria,2023-06-05 14:00:00,Coffee,6.3842860102100625
Astoria,2023-06-05 14:00:00,Coffee beans,6.3842860102100625
Astoria,2023-06-05 14:00:00,Drinking Chocolate,6.3842860102100625
Astoria,2023-06-05 14:00:00,Flavours,6.3842860102100625
Astoria,2023-06-05 14:00:00,Tea,6.3842860102100625
Astoria,2023-06-05 15:00:00,Bakery,6.51971161477467
Astoria,2023-06-05 15:00:00,Coffee,6.51971161477467
Astoria,2023-06-05 15:00:00,Coffee beans,6.51971161477467
Astoria,2023-06-05 15:00:00,Drinking Chocolate,6.51971161477467
Astoria,2023-06-05 15:00:00,Flavours,6.51971161477467
Astoria,2023-06-05 15:00:00,Tea,6.51971161477467
Astoria,2023-06-05 16:00:00,Bakery,4.985279781796947
Astoria,2023-06-05 16:00:00,Coffee,4.985279781796947
Astoria,2023-06-05 16:00:00,Coffee beans,4.985279781796947
Astoria,2023-06-05 16:00:00,Drinking Chocolate,4.985279781796947
Astoria,2023-06-05 16:00:00,Flavours,4.985279781796947
Astoria,2023-06-05 16:00:00,Tea,4.985279781796947
Astoria,2023-06-05 17:00:00,Bakery,6.549362826798796
Astoria,2023-06-05 17:00:00,Coffee,6.549362826798796
Astoria,2023-06-05 17:00:00,Coffee beans,6.549362826798796
Astoria,2023-06-05 17:00:00,Drinking Chocolate,6.549362826798796
Astoria,2023-06-05 17:00:00,Flavours,6.549362826798796
Astoria,2023-06-05 17:00:00,Tea,6.549362826798796
Astoria,2023-06-05 18:00:00,Bakery,6.003757374643126
Astoria,2023-06-05 18:00:00,Coffee,6.003757374643126
Astoria,2023-06-05 18:00:00,Coffee beans,6.003757374643126
Astoria,2023-06-05 18:00:00,Drinking Chocolate,6.003757374643126
Astoria,2023-06-05 18:00:00,Flavours,6.003757374643126
Astoria,2023-06-05 18:00:00,Tea,6.003757374643126
Astoria,2023-06-05 19:00:00,Bakery,6.745105457042252
Astoria,2023-06-05 19:00:00,Coffee,6.745105457042252
Astoria,2023-06-05 19:00:00,Coffee beans,6.745105457042252
Astoria,2023-06-05 19:00:00,Drinking Chocolate,6.745105457042252
