store_location,product_detail,month,units,share_in_month
Astoria,Almond Croissant,2023-01,69,0.008332327013645694
Astoria,Almond Croissant,2023-02,65,0.00842187095102358
Astoria,Almond Croissant,2023-03,89,0.0089008900890089
Astoria,Almond Croissant,2023-04,105,0.008731082654249126
Astoria,Almond Croissant,2023-05,150,0.009308675685739108
Astoria,Almond Croissant,2023-06,145,0.008603809410787398
Astoria,Brazilian - Organic,2023-01,3,0.00036227508754981284
Astoria,Brazilian - Organic,2023-02,5,0.000647836227001814
Astoria,Brazilian - Organic,2023-03,11,0.0011001100110011
Astoria,Brazilian - Organic,2023-04,8,0.0006652253450856477
Astoria,Brazilian - Organic,2023-05,8,0.0004964627032394191
Astoria,Brazilian - Organic,2023-06,12,0.0007120393995134397
Astoria,Brazilian Lg,2023-01,176,0.021253471802922353
Astoria,Brazilian Lg,2023-02,166,0.021508162736460223
Astoria,Brazilian Lg,2023-03,167,0.0167016701670167
Astoria,Brazilian Lg,2023-04,241,0.020039913520705138
Astoria,Brazilian Lg,2023-05,317,0.019672334615861983
Astoria,Brazilian Lg,2023-06,349,0.020708479202515874
Astoria,Brazilian Rg,2023-01,179,0.021615746890472166
Astoria,Brazilian Rg,2023-02,174,0.022544700699663123
Astoria,Brazilian Rg,2023-03,239,0.023902390239023904
Astoria,Brazilian Rg,2023-04,270,0.022451355396640612
Astoria,Brazilian Rg,2023-05,308,0.019113814074717638
Astoria,Brazilian Rg,2023-06,362,0.021479855218655433
Astoria,Brazilian Sm,2023-01,175,0.021132713440405747
Astoria,Brazilian Sm,2023-02,153,0.019823788546255508
Astoria,Brazilian Sm,2023-03,187,0.0187018701870187
Astoria,Brazilian Sm,2023-04,239,0.019873607184433727
Astoria,Brazilian Sm,2023-05,309,0.019175871912622565
Astoria,Brazilian Sm,2023-06,333,0.019759093336497953
Astoria,Cappuccino,2023-01,140,0.0169061707523246
Astoria,Cappuccino,2023-02,161,0.020860326509458408
Astoria,Cappuccino,2023-03,189,0.018901890189018902
Astoria,Cappuccino,2023-04,259,0.021536670547147845
Astoria,Cappuccino,2023-05,329,0.02041702867072111
Astoria,Cappuccino,2023-06,331,0.019640420103245713
Astoria,Cappuccino Lg,2023-01,172,0.020770438352855934
Astoria,Cappuccino Lg,2023-02,153,0.019823788546255508
Astoria,Cappuccino Lg,2023-03,236,0.023602360236023603
Astoria,Cappuccino Lg,2023-04,264,0.021952436387826377
Astoria,Cappuccino Lg,2023-05,290,0.017996772992428942
Astoria,Cappuccino Lg,2023-06,327,0.019403073636741233
Astoria,Carmel syrup,2023-01,68,0.00821156865112909
Astoria,Carmel syrup,2023-02,59,0.007644467478621405
Astoria,Carmel syrup,2023-03,74,0.007400740074007401
Astoria,Carmel syrup,2023-04,93,0.007733244636620655
Astoria,Carmel syrup,2023-05,114,0.007074593521161723
Astoria,Carmel syrup,2023-06,127,0.007535750311517237
Astoria,Chili Mayan,2023-01,7,0.0008453085376162299
Astoria,Chili Mayan,2023-02,3,0.00038870173620108835
Astoria,Chili Mayan,2023-03,6,0.0006000600060006001
Astoria,Chili Mayan,2023-04,12,0.0009978380176284716
Astoria,Chili Mayan,2023-05,12,0.0007446940548591287
Astoria,Chili Mayan,2023-06,7,0.0004153563163828399
Astoria,Chocolate Chip Biscotti,2023-01,82,0.00990218572636155
Astoria,Chocolate Chip Biscotti,2023-02,67,0.008681005441824307
Astoria,Chocolate Chip Biscotti,2023-03,101,0.010101010101010102
Astoria,Chocolate Chip Biscotti,2023-04,105,0.008731082654249126
Astoria,Chocolate Chip Biscotti,2023-05,143,0.008874270820404618
Astoria,Chocolate Chip Biscotti,2023-06,154,0.009137838960422476
Astoria,Chocolate Croissant,2023-01,120,0.014491003501992512
Astoria,Chocolate Croissant,2023-02,114,0.014770665975641358
Astoria,Chocolate Croissant,2023-03,157,0.0157015701570157
Astoria,Chocolate Croissant,2023-04,159,0.01322135373357725
Astoria,Chocolate Croissant,2023-05,234,0.01452153406975301
Astoria,Chocolate Croissant,2023-06,239,0.014181451373642675
Astoria,Chocolate syrup,2023-01,84,0.01014370245139476
Astoria,Chocolate syrup,2023-02,86,0.0111427831044312
Astoria,Chocolate syrup,2023-03,98,0.0098009800980098
Astoria,Chocolate syrup,2023-04,101,0.008398469981706303
Astoria,Chocolate syrup,2023-05,156,0.009681022713168673
Astoria,Chocolate syrup,2023-06,145,0.008603809410787398
Astoria,Civet Cat,2023-01,7,0.0008453085376162299
Astoria,Civet Cat,2023-02,4,0.0005182689816014512
Astoria,Civet Cat,2023-03,6,0.0006000600060006001
Astoria,Civet Cat,2023-04,8,0.0006652253450856477
Astoria,Civet Cat,2023-05,10,0.000620578379049274
Astoria,Civet Cat,2023-06,10,0.0005933661662611998
Astoria,Columbian Medium Roast,2023-01,3,0.00036227508754981284
Astoria,Columbian Medium Roast,2023-02,6,0.0007774034724021767
Astoria,Columbian Medium Roast,2023-03,9,0.0009000900090009
Astoria,Columbian Medium Roast,2023-04,10,0.0008315316813570597
Astoria,Columbian Medium Roast,2023-05,18,0.001117041082288693
Astoria,Columbian Medium Roast,2023-06,11,0.0006527027828873198
Astoria,Columbian Medium Roast Lg,2023-01,183,0.022098780340538582
Astoria,Columbian Medium Roast Lg,2023-02,145,0.018787250583052605
Astoria,Columbian Medium Roast Lg,2023-03,196,0.0196019601960196
Astoria,Columbian Medium Roast Lg,2023-04,232,0.019291535007483786
Astoria,Columbian Medium Roast Lg,2023-05,335,0.020789375698150675
Astoria,Columbian Medium Roast Lg,2023-06,346,0.020530469352637512
Astoria,Columbian Medium Roast Rg,2023-01,182,0.02197802197802198
Astoria,Columbian Medium Roast Rg,2023-02,180,0.023322104172065303
Astoria,Columbian Medium Roast Rg,2023-03,237,0.023702370237023703
Astoria,Columbian Medium Roast Rg,2023-04,289,0.024031265591219025
Astoria,Columbian Medium Roast Rg,2023-05,361,0.02240287948367879
Astoria,Columbian Medium Roast Rg,2023-06,364,0.021598528451907673
Astoria,Columbian Medium Roast Sm,2023-01,183,0.022098780340538582
Astoria,Columbian Medium Roast Sm,2023-02,161,0.020860326509458408
Astoria,Columbian Medium Roast Sm,2023-03,211,0.021102110211021104
Astoria,Columbian Medium Roast Sm,2023-04,251,0.0208714452020622
Astoria,Columbian Medium Roast Sm,2023-05,354,0.021968474618344298
Astoria,Columbian Medium Roast Sm,2023-06,383,0.022725924167803953
Astoria,Cranberry Scone,2023-01,80,0.009660669001328342
Astoria,Cranberry Scone,2023-02,82,0.010624514122829748
Astoria,Cranberry Scone,2023-03,100,0.010001000100010001
Astoria,Cranberry Scone,2023-04,115,0.009562614335606186
Astoria,Cranberry Scone,2023-05,152,0.009432791361548964
Astoria,Cranberry Scone,2023-06,156,0.009256512193674717
Astoria,Croissant,2023-01,64,0.007728535201062673
Astoria,Croissant,2023-02,75,0.009717543405027208
Astoria,Croissant,2023-03,90,0.009000900090009001
Astoria,Croissant,2023-04,107,0.008897388990520538
Astoria,Croissant,2023-05,126,0.007819287576020852
Astoria,Croissant,2023-06,144,0.008544472794161278
Astoria,Dark chocolate,2023-02,2,0.0002591344908007256
Astoria,Dark chocolate,2023-03,1,0.00010001000100010001
Astoria,Dark chocolate,2023-04,3,0.0002494595044071179
Astoria,Dark chocolate,2023-05,4,0.00024823135161970955
Astoria,Dark chocolate,2023-06,3,0.00017800984987835993
Astoria,Dark chocolate Lg,2023-01,195,0.023547880690737835
Astoria,Dark chocolate Lg,2023-02,201,0.02604301632547292
Astoria,Dark chocolate Lg,2023-03,215,0.0215021502150215
Astoria,Dark chocolate Lg,2023-04,322,0.02677532013969732
Astoria,Dark chocolate Lg,2023-05,401,0.024885192999875884
Astoria,Dark chocolate Lg,2023-06,421,0.024980715599596512
Astoria,Dark chocolate Rg,2023-01,191,0.023064847240671416
