store_location,weekday,hour,pars_multiplier,staff_flag
Astoria,Friday,7,1.15,normal
Astoria,Friday,7,1.15,normal
Astoria,Friday,7,1.0,normal
Astoria,Friday,7,1.15,normal
Astoria,Friday,8,1.0,normal
Astoria,Friday,8,1.15,normal
Astoria,Friday,8,1.15,normal
Astoria,Friday,8,0.8,normal
Astoria,Friday,9,1.15,normal
Astoria,Friday,9,1.15,normal
Astoria,Friday,9,1.0,normal
Astoria,Friday,9,1.15,normal
Astoria,Friday,10,1.1,normal
Astoria,Friday,10,0.8,normal
Astoria,Friday,10,0.8,normal
Astoria,Friday,10,1.0,normal
Astoria,Friday,11,1.15,normal
Astoria,Friday,11,1.15,normal
Astoria,Friday,11,1.25,normal
Astoria,Friday,11,1.0,normal
Astoria,Friday,12,0.9,normal
Astoria,Friday,12,1.1,normal
Astoria,Friday,12,1.15,normal
Astoria,Friday,12,1.1,normal
Astoria,Friday,13,1.0,normal
Astoria,Friday,13,1.1,normal
Astoria,Friday,13,1.15,normal
Astoria,Friday,13,1.15,normal
Astoria,Friday,14,0.9,normal
Astoria,Friday,14,1.15,normal
Astoria,Friday,14,1.15,normal
Astoria,Friday,14,1.1,normal
Astoria,Friday,15,0.9,normal
Astoria,Friday,15,1.1,normal
Astoria,Friday,15,1.1,normal
Astoria,Friday,15,1.0,normal
Astoria,Friday,16,1.15,normal
Astoria,Friday,16,1.1,normal
Astoria,Friday,16,1.1,normal
Astoria,Friday,16,1.1,normal
Astoria,Friday,17,0.9,normal
Astoria,Friday,17,1.1,normal
Astoria,Friday,17,1.1,normal
Astoria,Friday,17,1.1,normal
Astoria,Friday,18,0.9,normal
Astoria,Friday,18,1.1,normal
Astoria,Friday,18,1.25,normal
Astoria,Friday,18,1.15,normal
Astoria,Friday,19,1.25,normal
Astoria,Friday,19,1.25,normal
Astoria,Friday,19,1.25,peak
Astoria,Monday,7,1.15,normal
Astoria,Monday,7,1.0,normal
Astoria,Monday,7,1.15,normal
Astoria,Monday,8,1.15,normal
Astoria,Monday,8,1.15,normal
