store_location,size,units,revenue,unit_share,revenue_share
Astoria,Large,23820,82927.4,0.3355354904142779,0.35707028873222124
Astoria,Regular,24371,69433.2,0.3432970376526602,0.2989667199454229
Astoria,Small,7456,16110.35,0.1050273978391627,0.06936823445661074
Astoria,Unknown,15344,63772.96,0.21614007409389924,0.2745947568657452
Hell's Kitchen,Large,22651,78569.0,0.3157505889568842,0.3321999548689392
Hell's Kitchen,Regular,22906,65183.4,0.3193052399737932,0.2756038964248496
Hell's Kitchen,Small,7046,15216.35,0.09821988652996362,0.0643367076489453
Hell's Kitchen,Unknown,19134,77542.42,0.26672428453935904,0.32785944105726594
Lower Manhattan,Large,22069,76461.75,0.3076161802012768,0.3323596626491884
Lower Manhattan,Regular,22909,65144.75,0.31932480276546515,0.2831675593792415
Lower Manhattan,Small,6921,15076.0,0.09647068662708037,0.06553151443825396
Lower Manhattan,Unknown,19843,73374.75,0.2765883304061777,0.31894126353331614
