store,date,start,end,action
Astoria,2023-06-04,19:00,19:00,+1 barista
Astoria,2023-06-05,11:00,15:00,+1 barista
Astoria,2023-06-05,18:00,19:00,+1 barista
Astoria,2023-06-06,11:00,11:00,+1 barista
Astoria,2023-06-06,17:00,19:00,+1 barista
Astoria,2023-06-08,17:00,17:00,+1 barista
Astoria,2023-06-14,09:00,09:00,+1 barista
Astoria,2023-06-17,18:00,18:00,+1 barista
Astoria,2023-06-18,18:00,19:00,+1 barista
Astoria,2023-06-23,19:00,19:00,+1 barista
Astoria,2023-06-24,12:00,14:00,+1 barista
Hell's Kitchen,2023-06-05,08:00,08:00,+1 barista
Hell's Kitchen,2023-06-07,08:00,09:00,+1 barista
Hell's Kitchen,2023-06-07,20:00,20:00,+1 barista
Hell's Kitchen,2023-06-08,06:00,09:00,+1 barista
Hell's Kitchen,2023-06-09,06:00,09:00,+1 barista
Hell's Kitchen,2023-06-10,06:00,08:00,+1 barista
Hell's Kitchen,2023-06-11,07:00,09:00,+1 barista
Hell's Kitchen,2023-06-12,06:00,09:00,+1 barista
Hell's Kitchen,2023-06-13,08:00,09:00,+1 barista
Hell's Kitchen,2023-06-14,08:00,09:00,+1 barista
Hell's Kitchen,2023-06-14,20:00,20:00,+1 barista
Hell's Kitchen,2023-06-15,06:00,06:00,+1 barista
Hell's Kitchen,2023-06-15,09:00,09:00,+1 barista
Hell's Kitchen,2023-06-16,06:00,06:00,+1 barista
Hell's Kitchen,2023-06-16,09:00,09:00,+1 barista
Hell's Kitchen,2023-06-17,06:00,06:00,+1 barista
Hell's Kitchen,2023-06-18,06:00,06:00,+1 barista
Hell's Kitchen,2023-06-18,09:00,09:00,+1 barista
Hell's Kitchen,2023-06-19,07:00,09:00,+1 barista
Hell's Kitchen,2023-06-20,08:00,09:00,+1 barista
Hell's Kitchen,2023-06-21,08:00,09:00,+1 barista
Hell's Kitchen,2023-06-21,20:00,20:00,+1 barista
Hell's Kitchen,2023-06-22,06:00,06:00,+1 barista
Hell's Kitchen,2023-06-23,06:00,06:00,+1 barista
Hell's Kitchen,2023-06-23,09:00,09:00,+1 barista
Hell's Kitchen,2023-06-24,06:00,06:00,+1 barista
Hell's Kitchen,2023-06-25,06:00,09:00,+1 barista
Hell's Kitchen,2023-06-26,06:00,08:00,+1 barista
Hell's Kitchen,2023-06-27,08:00,09:00,+1 barista
Hell's Kitchen,2023-06-29,08:00,09:00,+1 barista
Hell's Kitchen,2023-06-30,07:00,07:00,+1 barista
Lower Manhattan,2023-06-05,07:00,08:00,+1 barista
Lower Manhattan,2023-06-06,07:00,08:00,+1 barista
Lower Manhattan,2023-06-08,09:00,09:00,+1 barista
Lower Manhattan,2023-06-08,19:00,20:00,+1 barista
Lower Manhattan,2023-06-09,09:00,09:00,+1 barista
Lower Manhattan,2023-06-10,08:00,09:00,+1 barista
Lower Manhattan,2023-06-11,08:00,09:00,+1 barista
Lower Manhattan,2023-06-12,06:00,09:00,+1 barista
Lower Manhattan,2023-06-13,07:00,09:00,+1 barista
Lower Manhattan,2023-06-15,08:00,08:00,+1 barista
Lower Manhattan,2023-06-16,09:00,09:00,+1 barista
Lower Manhattan,2023-06-17,08:00,09:00,+1 barista
Lower Manhattan,2023-06-18,06:00,09:00,+1 barista
Lower Manhattan,2023-06-19,08:00,09:00,+1 barista
Lower Manhattan,2023-06-20,07:00,09:00,+1 barista
Lower Manhattan,2023-06-21,09:00,09:00,+1 barista
Lower Manhattan,2023-06-22,08:00,09:00,+1 barista
Lower Manhattan,2023-06-24,08:00,09:00,+1 barista
Lower Manhattan,2023-06-25,08:00,09:00,+1 barista
Lower Manhattan,2023-06-26,06:00,09:00,+1 barista
Lower Manhattan,2023-06-27,07:00,09:00,+1 barista
