store_location,date,+1 barista,hold
Astoria,2023-06-04,1,1
Astoria,2023-06-05,7,2
Astoria,2023-06-06,4,5
Astoria,2023-06-07,0,13
Astoria,2023-06-08,1,12
Astoria,2023-06-09,0,13
Astoria,2023-06-10,0,13
Astoria,2023-06-11,0,13
Astoria,2023-06-12,0,13
Astoria,2023-06-13,0,13
Astoria,2023-06-14,1,11
Astoria,2023-06-15,0,13
Astoria,2023-06-16,0,13
Astoria,2023-06-17,1,12
Astoria,2023-06-18,2,11
Astoria,2023-06-19,0,13
Astoria,2023-06-20,0,13
Astoria,2023-06-21,0,12
Astoria,2023-06-22,0,13
Astoria,2023-06-23,1,12
Astoria,2023-06-24,3,10
Astoria,2023-06-25,0,13
Astoria,2023-06-26,0,13
Astoria,2023-06-27,0,13
Astoria,2023-06-28,0,13
Astoria,2023-06-29,0,13
Astoria,2023-06-30,0,12
Hell's Kitchen,2023-06-04,0,11
Hell's Kitchen,2023-06-05,1,11
Hell's Kitchen,2023-06-06,0,12
Hell's Kitchen,2023-06-07,3,10
Hell's Kitchen,2023-06-08,4,10
Hell's Kitchen,2023-06-09,4,10
Hell's Kitchen,2023-06-10,3,11
Hell's Kitchen,2023-06-11,3,11
Hell's Kitchen,2023-06-12,4,10
Hell's Kitchen,2023-06-13,2,11
Hell's Kitchen,2023-06-14,3,10
Hell's Kitchen,2023-06-15,2,12
Hell's Kitchen,2023-06-16,2,12
Hell's Kitchen,2023-06-17,1,13
Hell's Kitchen,2023-06-18,2,12
Hell's Kitchen,2023-06-19,3,11
Hell's Kitchen,2023-06-20,2,11
Hell's Kitchen,2023-06-21,3,10
Hell's Kitchen,2023-06-22,1,13
Hell's Kitchen,2023-06-23,2,12
Hell's Kitchen,2023-06-24,1,13
Hell's Kitchen,2023-06-25,4,10
Hell's Kitchen,2023-06-26,3,11
Hell's Kitchen,2023-06-27,2,11
Hell's Kitchen,2023-06-28,0,12
Hell's Kitchen,2023-06-29,2,10
Hell's Kitchen,2023-06-30,1,13
Lower Manhattan,2023-06-04,0,12
Lower Manhattan,2023-06-05,2,10
Lower Manhattan,2023-06-06,2,10
Lower Manhattan,2023-06-07,0,7
Lower Manhattan,2023-06-08,3,11
Lower Manhattan,2023-06-09,1,13
Lower Manhattan,2023-06-10,2,11
Lower Manhattan,2023-06-11,2,11
Lower Manhattan,2023-06-12,4,9
Lower Manhattan,2023-06-13,3,9
Lower Manhattan,2023-06-14,0,12
Lower Manhattan,2023-06-15,1,12
Lower Manhattan,2023-06-16,1,12
Lower Manhattan,2023-06-17,2,11
Lower Manhattan,2023-06-18,4,9
Lower Manhattan,2023-06-19,2,11
Lower Manhattan,2023-06-20,3,9
Lower Manhattan,2023-06-21,1,11
Lower Manhattan,2023-06-22,2,11
Lower Manhattan,2023-06-23,0,13
Lower Manhattan,2023-06-24,2,11
Lower Manhattan,2023-06-25,2,11
Lower Manhattan,2023-06-26,4,9
Lower Manhattan,2023-06-27,3,9
Lower Manhattan,2023-06-28,0,12
Lower Manhattan,2023-06-29,0,12
Lower Manhattan,2023-06-30,0,14
